DateTime,AddedIPs,RemovedIPs
1505661633,2,3
1505667033,0,3
1505672433,4,4
1506079232,4,286
1506090033,7,3
1506094832,3,3
1506100232,2,0
1506105032,3,8
1506112230,3,5
1506115833,5,0
1506120033,6,2
1506126033,6,8
1506131434,4,0
1506138032,2,3
1506144633,2,3
1506149432,4,6
1506154832,4,3
1506160232,4,7
1506165632,5,2
1506171036,1,6
1506176432,3,4
1506184229,3,1
1506187832,3,0
1506191429,4,1
1506195032,2,4
1506199232,5,1
1506204033,3,7
1506207630,5,0
1506211232,3,5
1506215432,3,2
1506222034,2,0
1506226832,0,6
1506231632,2,1
1506237032,6,2
1506242432,3,0
1506247833,6,5
1506253832,5,3
1506259233,2,4
1506264633,2,2
1506270033,0,3
1506274832,7,1
1506280232,6,0
1506283830,3,5
1506289232,6,2
1506295232,2,7
1506300032,4,2
1506306632,4,3
1506311432,1,2
1506316832,3,5
1506322233,0,7
1506328233,2,0
1506333033,4,6
1506337832,4,6
1506343832,4,6
1506349232,1,3
1506354033,4,0
1506358833,3,3
1506362430,2,0
1506366632,4,1
1506372633,0,9
1506378032,5,5
1506383432,1,3
1506388832,2,4
1506394232,0,1
1506400232,4,3
1506405032,3,5
1506409833,3,4
1506415832,4,0
1506420633,0,6
1506426032,3,2
1506431432,3,3
1506436833,3,2
1506441633,5,1
1506448830,5,3
1506452432,3,0
1506460230,2,7
1506465632,4,2
1506471033,4,4
1506477032,4,6
1506482432,5,5
1506487832,6,3
1506493232,2,5
1506498632,0,2
1506504032,2,9
1506513632,3,8
1506517832,1,3
1506523832,4,0
1506528632,4,2
1506534032,2,6
1506537629,4,0
1506543033,1,3
1506547832,4,2
1506555030,2,3
1506559233,3,8
1506565232,4,0
1506571232,3,7
1506576632,3,3
1506582032,4,0
1506587433,5,4
1506592233,5,2
1506597633,4,3
1506602431,4,0
1506608433,3,6
1506612632,2,5
1506616833,7,3
1506620430,2,0
1506625833,2,9
1506631233,8,6
1506640233,0,4
1506645635,2,7
1506652236,4,5
1506657637,5,3
1506662434,0,3
1506667234,2,5
1506672635,3,2
1506678034,7,6
1506681030,4,0
1506684632,1,4
1506689433,6,3
1506695432,2,2
1506700232,3,2
1506705032,1,1
1506709832,4,2
1506714032,3,5
1506717630,3,0
1506723032,4,0
1506728432,5,7
1506733832,5,5
1506740433,4,7
1506745833,3,4
1506750032,3,3
1506755432,3,0
1506761432,2,5
1506766832,6,6
1506771633,1,9
1506777633,4,3
1506782432,1,1
1506787832,1,0
1506792632,2,3
1506796230,1,0
1506800433,3,7
1506803430,1,0
1506807033,1,3
1506811232,4,3
1506816632,2,3
1506822632,1,1
1506828032,2,2
1506834032,10,4
1506838831,4,1
1506844232,4,3
1506849032,9,6
1506859832,1,8
1506865832,4,2
1506870633,5,6
1506876033,3,0
1506882032,5,1
1506889830,2,3
1506894033,5,6
1506897630,5,0
1506903032,6,3
1506909032,3,2
1506914432,2,4
1506920433,3,3
1506925833,2,3
1506930034,2,4
1506936033,3,4
1506941432,6,5
1506946833,2,5
1506953432,1,5
1506958833,2,4
1506963033,4,10
1506967833,4,0
1506973833,4,2
1506978633,4,7
1506982229,1,0
1506985832,4,0
1506991832,1,9
1506997232,4,4
1507003232,4,8
1507008633,4,4
1507014033,2,0
1507019433,3,3
1507024833,3,4
1507029633,3,5
1507035632,4,3
1507040433,1,8
1507045232,3,1
1507050632,3,0
1507054230,2,1
1507059633,1,6
1507063230,4,0
1507068632,3,7
1507074033,3,3
1507080032,3,7
1507085433,6,5
1507090832,4,4
1507096232,2,6
1507101632,1,5
1507107032,6,1
1507111831,2,3
1507117832,1,3
1507123832,1,0
1507128632,5,3
1507133432,2,4
1507138233,0,3
1507142432,4,4
1507147833,1,1
1507153236,1,0
1507158632,4,5
1507164032,3,0
1507170632,2,5
1507176032,4,4
1507180832,4,0
1507186233,5,1
1507191632,3,6
1507196432,1,4
1507201832,0,3
1507206032,3,4
1507211432,1,4
1507216832,4,0
1507221632,1,5
1507226432,4,6
1507230632,4,3
1507236032,1,0
1507239630,1,0
1507243233,14,3
1507249232,9,0
1507255232,4,8
1507260633,10,5
1507266033,7,2
1507271434,6,4
1507276833,8,1
1507281632,4,3
1507287032,1,0
1507293033,7,4
1507299033,4,3
1507305032,6,2
1507309833,5,7
1507315232,3,2
1507321232,3,1
1507326033,7,4
1507331432,7,5
1507335029,6,0
1507341632,4,5
1507347033,6,5
1507353033,4,2
1507359632,5,7
1507365032,4,2
1507370432,5,4
1507375233,5,3
1507380632,4,0
1507386632,3,2
1507392033,3,4
1507396832,5,5
1507401633,2,1
1507405229,3,0
1507410633,6,11
1507414230,2,0
1507419632,5,7
1507425632,3,6
1507432833,2,5
