DateTime,Entries,UniqueIPs
1476786350,20704,20704
1476828129,20624,20624
1476913654,20639,20639
1476981953,20670,20670
1477063188,20729,20729
1477082852,20740,20740
1477226897,20758,20758
1477313487,20728,20728
1477387597,20765,20765
1477422226,20671,20671
1477509004,20933,20933
1477587593,21000,21000
1477674681,21135,21135
1477723140,21199,21199
1477800483,21284,21284
1477855293,21211,21211
1477941340,21392,21392
1478014703,21234,21234
1478095755,21133,21133
1478181691,21372,21372
1478267224,21682,21682
1478298465,21840,21840
1478358544,21866,21866
1478531248,21750,21750
1478617803,21598,21598
1478699272,21781,21781
1478779851,21729,21729
1478864715,21855,21855
1478891204,21946,21946
1479142845,22121,22121
1479226718,21961,21961
1479313256,22029,22029
1479396540,22038,22038
1479474200,22034,22034
1479485913,22049,22049
1479650846,22077,22077
1479733351,22056,22056
1479818121,22116,22116
1479865685,22304,22304
1479942078,22460,22460
1480009434,22554,22554
1480092866,22620,22620
1480177955,22672,22672
1480264342,22597,22597
1480347953,22548,22548
1480434954,22626,22626
1480521450,22673,22673
1480607083,22771,22771
1480693300,22551,22551
1480711383,22773,22773
1480795948,22736,22736
1480863956,22822,22822
1480946644,22789,22789
1480980556,22761,22761
1481062591,22970,22970
1481147160,23038,23038
1481218777,23039,23039
1481300706,23143,23143
1481372714,22955,22955
1481450214,23106,23106
1481586324,23040,23040
1481661119,23097,23097
1481742235,23280,23280
1481825935,23577,23577
1481912719,23632,23632
1481996874,23636,23636
1482071567,23600,23600
1482145696,23650,23650
1482192678,23634,23634
1482277383,23704,23704
1482361936,23737,23737
1482443436,23707,23707
1482520911,23739,23739
1482597953,23812,23812
1482625985,23771,23771
1482790045,23682,23682
1482875005,23642,23642
1482961228,23758,23758
1483040275,23551,23551
1483116396,23746,23746
1483203297,23756,23756
1483277791,23746,23746
1483361667,23651,23651
1483438942,23633,23633
1483524290,23526,23526
1483570486,23495,23495
1483633267,23384,23384
1483699628,23570,23570
1483767186,23487,23487
1483980068,23479,23479
1484060822,23416,23416
1484141077,23549,23549
1484219558,23461,23461
1484304344,23649,23649
1484334050,23408,23408
1484501492,23618,23618
1484582924,23649,23649
1484670058,23670,23670
1484754415,23436,23436
1484841541,23656,23656
1484923062,23669,23669
1484971033,23545,23545
1485018892,23617,23617
1485092179,23600,23600
1485164786,23522,23522
1485208688,23639,23639
1485290591,23560,23560
1485376551,23614,23614
1485462657,23707,23707
1485544530,23701,23701
1485579240,23748,23748
1485739024,23804,23804
1485823702,23771,23771
1485903298,23786,23786
1485987816,23681,23681
1486070765,23574,23574
1486157293,23873,23873
1486225496,23545,23545
1486289916,23543,23543
1486464090,23835,23835
1486519717,23891,23891
1486595367,23902,23902
1486673157,24039,24039
1486747587,23901,23901
1486830828,24032,24032
1486911442,23942,23942
1486985537,24035,24035
1487068349,24066,24066
1487111916,24033,24033
1487181459,23995,23995
1487265896,24095,24095
1487345844,24132,24132
1487418228,23978,23978
1487590400,23944,23944
1487676580,23914,23914
1487710317,23910,23910
1487794961,23920,23920
1487868301,23922,23922
1487935754,23937,23937
1488010711,24097,24097
1488038803,24052,24052
1488125149,24099,24099
1488209400,24156,24156
1488289957,24063,24063
1488370603,24033,24033
1488455368,24021,24021
1488512600,24209,24209
1488561150,24173,24173
1488712233,24239,24239
1488798547,24213,24213
1488820741,24200,24200
1488981559,24279,24279
1489145452,24377,24377
1489183598,24153,24153
1489256282,24196,24196
1489335217,24197,24197
1489417839,24217,24217
1489503213,24161,24161
1489568141,24112,24112
1489624631,24149,24149
1489682673,24242,24242
1489765596,24214,24214
1489784405,24195,24195
1489855323,24203,24203
1489930278,24180,24180
1490004769,24143,24143
1490055675,24033,24033
1490134681,23978,23978
1490220278,23987,23987
1490292077,23980,23980
1490372160,23995,23995
1490457709,23949,23949
1490541336,24008,24008
1490616220,24007,24007
1490696835,24057,24057
1490775684,24029,24029
1490819442,24009,24009
1490895515,24036,24036
1490975048,24110,24110
1490998881,24053,24053
1491084888,24122,24122
1491171120,24343,24343
1491233806,24349,24349
1491307174,24346,24346
1491391084,24350,24350
1491474983,24318,24318
1491561338,24460,24460
1491642995,24485,24485
1491679769,24438,24438
1491753511,24468,24468
1491836843,24425,24425
1491914533,24466,24466
1491995986,24523,24523
1492080358,24481,24481
1492160207,24606,24606
1492194983,24599,24599
1492364165,24638,24638
1492450700,24631,24631
1492537199,24647,24647
1492623440,24668,24668
1492707587,24766,24766
1492794401,24804,24804
1492820257,24789,24789
1492900943,24787,24787
1492972119,24847,24847
1493048421,24828,24828
1493135555,24880,24880
1493221044,25002,25002
1493307432,25055,25055
1493393738,25083,25083
1493406599,25078,25078
1493569501,25174,25174
1493653834,25163,25163
1493721621,25135,25135
1493806002,25197,25197
1493842427,25153,25153
1493925960,25198,25198
1493936009,25192,25192
1494090864,25202,25202
1494171264,25200,25200
1494257981,25293,25293
1494336324,25308,25308
1494423211,25240,25240
1494449807,25336,25336
1494522706,25308,25308
1494584376,25307,25307
1494688549,25330,25330
1494858206,25322,25322
1494937598,25313,25313
1494991091,25330,25330
1495043753,25319,25319
1495217458,25385,25385
1495369668,25327,25327
1495438355,25289,25289
1495488034,25438,25438
1495567806,25440,25440
1495651406,25553,25553
1495735759,25580,25580
1495822310,25593,25593
1495901430,25616,25616
1495983928,25603,25603
1496062911,25582,25582
1496134592,25609,25609
1496220948,25716,25716
1496240674,25748,25748
1496326502,25719,25719
1496412741,25777,25777
1496440946,25734,25734
1496695784,25976,25976
1496767806,25939,25939
1496852635,25759,25759
1496959970,25841,25841
1497044629,25815,25815
1497105796,25789,25789
1497277609,25790,25790
1497348421,25861,25861
1497431647,25992,25992
1497482057,25948,25948
1497551389,25969,25969
1497637557,25985,25985
1497720327,25998,25998
1497801988,25932,25932
1497885864,25977,25977
1497964394,25997,25997
1497989828,26016,26016
1498075890,26008,26008
1498161171,26064,26064
1498236874,26140,26140
1498317730,26136,26136
1498387048,26063,26063
1498472265,26121,26121
1498554702,26162,26162
1498640269,26205,26205
1498694066,26166,26166
1498775468,26222,26222
1498837592,26193,26193
1498998493,26201,26201
1499082505,26170,26170
1499162599,26220,26220
1499244064,26172,26172
1499296016,26240,26240
1499381765,26221,26221
1499449183,26230,26230
1499525895,26207,26207
1499601141,26241,26241
1499681740,26227,26227
1499705832,26253,26253
1499789686,26238,26238
1499875288,26294,26294
1499959949,26263,26263
1500044823,26312,26312
1500130359,26267,26267
1500216814,26282,26282
1500311457,26287,26287
1500391290,26330,26330
1500478191,26358,26358
1500520991,26333,26333
1500576229,26258,26258
1500659727,26365,26365
1500819016,26431,26431
1500847048,26522,26522
1500931737,26395,26395
1501013368,26318,26318
1501092840,26514,26514
1501176448,26539,26539
1501257905,26565,26565
1501415142,26547,26547
1501500070,26552,26552
1501523665,26582,26582
1501610007,26533,26533
1501694166,26633,26633
1501779385,26638,26638
1501860495,26698,26698
1501873067,26653,26653
1502025930,26665,26665
1502109893,26655,26655
1502131505,26663,26663
1502216675,26656,26656
1502302922,26656,26656
1502386170,26629,26629
1502446254,26604,26604
1502644891,26630,26630
1502731060,26674,26674
1502808298,26682,26682
1502893355,26664,26664
1502980440,26721,26721
1503066619,26748,26748
1503086195,26736,26736
1503335995,26767,26767
1503418920,26944,26944
1503503042,26955,26955
1503587890,26682,26682
1503675019,26978,26978
1503698489,26956,26956
1503848280,26972,26972
1503933044,26950,26950
1504018191,27014,27014
1504103882,26970,26970
1504119032,27026,27026
1504203348,27052,27052
1504281774,27087,27087
1504326198,27038,27038
1504405286,27004,27004
1504455169,27003,27003
1504534640,27063,27063
1504619585,27041,27041
1504698925,27043,27043
1504774074,27066,27066
1504860638,27111,27111
1504885999,27149,27149
1505052758,27169,27169
1505138178,27165,27165
1505217668,27347,27347
1505302821,27248,27248
1505375995,27166,27166
1505439545,27172,27172
1505496742,27227,27227
1505563339,27204,27204
1505649395,27185,27185
1505735087,27442,27442
1505810257,27258,27258
1505877274,27285,27285
1505936630,27333,27333
1506014785,27310,27310
1506098119,27377,27377
1506112032,27328,27328
1506198082,27363,27363
1506261102,27392,27392
1506345083,27409,27409
1506424736,27414,27414
1506505585,27464,27464
1506551417,27498,27498
1506637423,27539,27539
1506719945,27487,27487
1506806702,27515,27515
1506886672,27530,27530
1506969656,27521,27521
1507049943,27604,27604
1507132246,27554,27554
1507217319,27589,27589
1507302544,27609,27609
1507463966,27623,27623
1507540634,27601,27601
1507627247,27666,27666
1507709741,27695,27695
1507757870,27649,27649
1507843194,27647,27647
1507920045,27646,27646
1507985531,27700,27700
1508069114,27732,27732
1508140707,27957,27957
1508226098,28029,28029
1508310958,27820,27820
1508394187,27847,27847
1508480634,27865,27865
1508525837,28035,28035
1508606592,28014,28014
1508668311,28000,28000
